"edge_id","child_source_id","parent_source_id","relationship","record_scope","transformation","evidence_path","evidence_detail","confidence","license_dependency","notes"
"EDGE-0011","SRC-10_SCOUT_450","UP-SCOUT-BIPIA","contains_records_from","6 of 74 SCOUT candidate records","SCOUT filtered_copy or recorded generation method","scripts/structure_intact/collect/collect_scout450_structure_candidates_v1.py;data/archive/pre_monorepo_data_pipeline_20260730/review/04_structure_intact/external_structure_candidates/src10_scout450_v1/src10_scout450_structure_candidates_all_v1.csv","source_dataset=bipia","confirmed","yes","Final selected-row mapping is not reconstructed"
"EDGE-0012","SRC-10_SCOUT_450","UP-INJECAGENT","contains_records_from","1 of 74 SCOUT candidate records","SCOUT-carried record with recorded generation method","scripts/structure_intact/collect/collect_scout450_structure_candidates_v1.py;data/archive/pre_monorepo_data_pipeline_20260730/review/04_structure_intact/external_structure_candidates/src10_scout450_v1/src10_scout450_structure_candidates_all_v1.csv","source_dataset=injecagent","confirmed","yes","Final selected-row mapping is not reconstructed"
"EDGE-0013","UP-SCOUT-BIPIA","SRC-11_microsoft_BIPIA","possible_duplicate_of","6 SCOUT records labelled bipia versus Microsoft BIPIA collection","no record mapping performed","scripts/structure_intact/collect/collect_scout450_structure_candidates_v1.py;scripts/structure_intact/collect/collect_bipia_code_structure_candidates_v1.py","Names indicate the same source family but revision and record identity are absent","possible","yes","Do not collapse nested source until externally verified"
"EDGE-0014","SRC-11_microsoft_BIPIA","UP-CODEQA","context_taken_from","50 distinct context_index and context_url values used across 7500 generated candidates","attack strings inserted into clean CodeQA contexts at start middle or end","scripts/structure_intact/collect/collect_bipia_code_structure_candidates_v1.py;data/archive/pre_monorepo_data_pipeline_20260730/review/04_structure_intact/external_structure_candidates/src11_bipia_v1/src11_bipia_code_candidates_all_v1.csv","Collector reads benchmark/code/test.jsonl and retains context_url and context_author_url","confirmed","yes","Selected 18-row context mapping remains to be reconstructed"
"EDGE-0015","SRC-12_bordair_multimodal","REF-GRESHAKE-ET-AL","reference_only","Bordair YAML candidate attack_reference","no textual derivation established","scripts/structure_intact/extract/extract_bordair_yaml_candidates_v1.py;data/archive/pre_monorepo_data_pipeline_20260730/review/04_structure_intact/external_structure_candidates/src12_bordair_v1/src12_bordair_yaml_candidates_all_v1.csv","attack_source and attack_reference include Greshake et al. and arXiv:2302.12173","confirmed","unresolved","Whether paper content supplied text or only design is unresolved"
"EDGE-0016","SRC-12_bordair_multimodal","REF-OWASP","reference_only","Bordair YAML candidate attack_source","no textual derivation established","scripts/structure_intact/extract/extract_bordair_yaml_candidates_v1.py;data/archive/pre_monorepo_data_pipeline_20260730/review/04_structure_intact/external_structure_candidates/src12_bordair_v1/src12_bordair_yaml_candidates_all_v1.csv","attack_source includes OWASP","confirmed","unresolved","Exact document and version are absent"
"EDGE-0017","SRC-12_bordair_multimodal","REF-MICROSOFT-RED-TEAM","reference_only","Bordair YAML candidate attack_source and attack_reference","no textual derivation established","scripts/structure_intact/extract/extract_bordair_yaml_candidates_v1.py;data/archive/pre_monorepo_data_pipeline_20260730/review/04_structure_intact/external_structure_candidates/src12_bordair_v1/src12_bordair_yaml_candidates_all_v1.csv","attack_source includes Microsoft Red Team and attack_reference includes arXiv:2309.02926","confirmed","unresolved","Exact publication and artifact are absent"
"EDGE-0018","DERIVED-MUTATION-500","SRC-01_lakera_gandalf","derived_from","58 mutation rows inferred from 29 seed parents","two mutations generated per reviewed seed; mutation source_id left blank","scripts/dataset/finalize/build_prompt_injection_diagnostic_dataset_1000_v1.py;data/archive/pre_monorepo_data_pipeline_20260730/review/03_mutation_review/batches/seed_curation_250_v1.csv","Mutation source provenance is inherited through parent_record_id under the build contract; it is not a directly observed source_id","confirmed","yes","Inherited count is not observed source metadata"
"EDGE-0019","DERIVED-MUTATION-500","SRC-03_spml_chatbot_prompt_injection","derived_from","72 mutation rows inferred from 36 seed parents","two mutations generated per reviewed seed; mutation source_id left blank","scripts/dataset/finalize/build_prompt_injection_diagnostic_dataset_1000_v1.py;data/archive/pre_monorepo_data_pipeline_20260730/review/03_mutation_review/batches/seed_curation_250_v1.csv","Mutation source provenance is inherited through parent_record_id under the build contract; it is not a directly observed source_id","confirmed","yes","Inherited count is not observed source metadata"
"EDGE-0020","DERIVED-MUTATION-500","SRC-04_deepset_prompt_injections","derived_from","92 mutation rows inferred from 46 seed parents","two mutations generated per reviewed seed; mutation source_id left blank","scripts/dataset/finalize/build_prompt_injection_diagnostic_dataset_1000_v1.py;data/archive/pre_monorepo_data_pipeline_20260730/review/03_mutation_review/batches/seed_curation_250_v1.csv","Mutation source provenance is inherited through parent_record_id under the build contract; it is not a directly observed source_id","confirmed","yes","Inherited count is not observed source metadata"
"EDGE-0021","DERIVED-MUTATION-500","SRC-05_rogue_security_prompt_injections_benchmark","derived_from","12 mutation rows inferred from 6 seed parents","two mutations generated per reviewed seed; mutation source_id left blank","scripts/dataset/finalize/build_prompt_injection_diagnostic_dataset_1000_v1.py;data/archive/pre_monorepo_data_pipeline_20260730/review/03_mutation_review/batches/seed_curation_250_v1.csv","Mutation source provenance is inherited through parent_record_id under the build contract; it is not a directly observed source_id","confirmed","yes","Inherited count is not observed source metadata"
"EDGE-0022","DERIVED-MUTATION-500","SRC-06_jailbreak_llms","derived_from","18 mutation rows inferred from 9 seed parents","two mutations generated per reviewed seed; mutation source_id left blank","scripts/dataset/finalize/build_prompt_injection_diagnostic_dataset_1000_v1.py;data/archive/pre_monorepo_data_pipeline_20260730/review/03_mutation_review/batches/seed_curation_250_v1.csv","Mutation source provenance is inherited through parent_record_id under the build contract; it is not a directly observed source_id","confirmed","yes","Inherited count is not observed source metadata"
"EDGE-0023","DERIVED-MUTATION-500","SRC-09_neuralchemy_prompt_injection_dataset","derived_from","248 mutation rows inferred from 124 seed parents","two mutations generated per reviewed seed; mutation source_id left blank","scripts/dataset/finalize/build_prompt_injection_diagnostic_dataset_1000_v1.py;data/archive/pre_monorepo_data_pipeline_20260730/review/03_mutation_review/batches/seed_curation_250_v1.csv","Mutation source provenance is inherited through parent_record_id under the build contract; it is not a directly observed source_id","confirmed","yes","Inherited count is not observed source metadata"
"EDGE-0024","DERIVED-SRC07-WRAPPED","SRC-07_prodnull_prompt_injection_repo_dataset","wrapped_from","all SRC-07 scanner inputs used for 30 structure and 20 benign GT rows","raw text normalized then enclosed in repository_file_review_v1 wrapper","scripts/normalization/normalize_sources_v1.py;data/archive/pre_monorepo_data_pipeline_20260730/review/04_structure_intact/final/structure_intact_dataset_150_v1.csv","Normalizer retains raw_text separately and sets wrapper metadata","confirmed","yes","Derived node count overlaps SRC-07 and must not be added to GT totals"
