"inventory_version","source_id","canonical_name","aliases","source_level","source_type","owner_or_publisher","canonical_url","repository_url","dataset_identifier","version","revision_or_commit","retrieved_at","acquisition_method","usage_status","dataset_roles","internal_evidence_paths","data_artifact_paths","artifact_availability","observed_record_count","record_count_basis","observed_ground_truth_count","inherited_ground_truth_count","ground_truth_count_total","ground_truth_count_basis","raw_text_preserved","transformed","normalization_steps","context_or_wrapper_added","generated_or_synthetic","generation_method","mutation_parent_used","license_claim_internal","license_claim_source","license_evidence_type","license_evidence_path","license_verification_status","attribution_status","redistribution_status","derivative_use_status","provenance_completeness","external_verification_required","unresolved_questions","review_status","notes"
"source_inventory.v1","SRC-11_microsoft_BIPIA","Microsoft BIPIA","SRC-11|microsoft/BIPIA|SRC-11_microsoft_bipia","primary","benchmark","Microsoft","","","microsoft/BIPIA","","","","local repository checkout consumed by collector; acquisition not recorded","active","structure_intact_malicious|code_context","scripts/structure_intact/collect/collect_bipia_code_structure_candidates_v1.py","data/archive/pre_monorepo_data_pipeline_20260730/review/04_structure_intact/external_structure_candidates/src11_bipia_v1/src11_bipia_code_candidates_all_v1.csv;data/archive/pre_monorepo_data_pipeline_20260730/review/04_structure_intact/final/structure_intact_dataset_150_v1.csv","mixed","7500","distinct generated source_record_id in materialized candidate CSV","18","0","18","18 structure rows observed","true","true","clean CodeQA context combined with attack string at deterministic positions","false","true","reproduced_official_bipia_builder with seed 2023","false","","","none found","","not_checked","unresolved","unresolved","unresolved","partial","true","official repository revision license and CodeQA context author and license dependencies","internal_inventory_complete","7500 is generated combination count not upstream dataset size"
"source_inventory.v1","SRC-12_bordair_multimodal","Bordair multimodal","SRC-12|bordair|SRC-12_bordair_multimodal","primary","GitHub repository","","","","","","","","local public-source generator payload; acquisition not recorded","active","structure_intact_malicious|yaml","scripts/structure_intact/extract/extract_bordair_yaml_candidates_v1.py","data/archive/pre_monorepo_data_pipeline_20260730/review/04_structure_intact/external_structure_candidates/src12_bordair_v1/src12_bordair_yaml_candidates_all_v1.csv;data/archive/pre_monorepo_data_pipeline_20260730/review/04_structure_intact/final/structure_intact_dataset_150_v1.csv","mixed","2","distinct source_record_id across materialized selection and final CSVs","2","0","2","2 structure rows observed","partially","true","YAML candidate extraction and structural validation","false","true","public_source_generator","false","","","none found","","not_checked","unresolved","unresolved","unresolved","partial","true","canonical repository revision acquisition license and whether cited attack references provide text or design only","internal_inventory_complete","Candidate-all CSV contains one row while downstream selection exposes two record IDs"
"source_inventory.v1","UP-SPML-GANDALF","Gandalf within SPML","SPML metadata.source=Gandalf","upstream","dataset","","","","","","","","embedded source label only","unresolved","upstream_of_spml_records","scripts/normalization/normalize_sources_v1.py","data/archive/pre_monorepo_data_pipeline_20260730/review/01_seed_review/context_eval/manual_review_context_eval_schema_v1.csv","missing","115","distinct source_record_id with metadata.source=Gandalf across materialized CSVs","0","0","0","record-level GT mapping not reconstructed","unknown","unknown","","","unknown","","false","","","none found","","unresolved","unresolved","unresolved","unresolved","partial","true","whether records are copied from SRC-01 or merely Gandalf-labelled and which version and license apply","internal_inventory_complete","Kept separate from primary SRC-01"
"source_inventory.v1","UP-VERAZUO","verazuo","verazuo/jailbreak_llms","upstream","GitHub repository","","","","verazuo/jailbreak_llms","","","","name in internal policy only","unresolved","possible_owner_or_upstream_of_SRC-06","docs/policies/source_usage_decision_v1.md","","missing","0","relationship label only","0","0","0","no direct GT mapping","unknown","unknown","","","unknown","","false","","","none found","","unresolved","unresolved","unresolved","unresolved","partial","true","owner publisher mirror or repository relationship to SRC-06 and license","internal_inventory_complete","Do not merge until externally verified"
"source_inventory.v1","UP-TRUSTAIRLAB","TrustAIRLab","TrustAIRLab jailbreak","upstream","unknown","TrustAIRLab","","","","","","","name in internal policy only","unresolved","possible_owner_or_upstream_of_SRC-06","docs/policies/source_usage_decision_v1.md","","missing","0","relationship label only","0","0","0","no direct GT mapping","unknown","unknown","","","unknown","","false","","","none found","","unresolved","unresolved","unresolved","unresolved","partial","true","publisher dataset mirror relationship to SRC-06 canonical URL and license","internal_inventory_complete","Do not merge until externally verified"
"source_inventory.v1","UP-FLOWGPT","FlowGPT","flowgpt","upstream","manually collected","","","","","","","","SRC-06 embedded metadata label","unresolved","upstream_prompt_origin","scripts/normalization/normalize_sources_v1.py","data/archive/pre_monorepo_data_pipeline_20260730/review/01_seed_review/bypass/manual_review_bypass_candidate_schema_v1.csv","missing","33","distinct source_record_id with metadata.source=flowgpt","0","0","0","record-level GT mapping not reconstructed","unknown","unknown","","","unknown","","false","","","none found","","unresolved","unresolved","unresolved","unresolved","partial","true","whether copied prompt records and platform terms allow redistribution and derivative use","internal_inventory_complete","Internal source label only"
"source_inventory.v1","UP-HACKAPROMPT","HackAPrompt","hackaprompt","upstream","benchmark","","","","","","","","SRC-09 embedded metadata label","unresolved","upstream_of_neuralchemy_records","scripts/normalization/normalize_sources_v1.py","data/archive/pre_monorepo_data_pipeline_20260730/review/03_mutation_review/batches/seed_curation_250_v1.csv","missing","70","distinct source_record_id with metadata.source=hackaprompt","0","0","0","record-level GT mapping not reconstructed","unknown","unknown","","","unknown","","false","","","none found","","unresolved","unresolved","unresolved","unresolved","partial","true","official identity version license and exact copied or transformed record scope","internal_inventory_complete","Internal source label only"
"source_inventory.v1","UP-WILDGUARD-JUDGECOMP","WildGuard JudgeComp","wildguard_judgecomp","upstream","dataset","","","","","","","","SRC-09 embedded metadata label","unresolved","upstream_of_neuralchemy_records","scripts/normalization/normalize_sources_v1.py","data/archive/pre_monorepo_data_pipeline_20260730/review/03_mutation_review/batches/seed_curation_250_v1.csv","missing","10","distinct source_record_id with metadata.source=wildguard_judgecomp","0","0","0","record-level GT mapping not reconstructed","unknown","unknown","","","unknown","","false","","","none found","","unresolved","unresolved","unresolved","unresolved","partial","true","official dataset split revision license and copied or transformed record scope","internal_inventory_complete","Internal source label only"
"source_inventory.v1","UP-HARMBENCH","HarmBench","harmbench","upstream","benchmark","","","","","","","","SRC-09 embedded metadata label","unresolved","upstream_of_neuralchemy_records","scripts/normalization/normalize_sources_v1.py","data/archive/pre_monorepo_data_pipeline_20260730/review/03_mutation_review/batches/seed_curation_250_v1.csv","missing","9","distinct source_record_id with metadata.source=harmbench","0","0","0","record-level GT mapping not reconstructed","unknown","unknown","","","unknown","","false","","","none found","","unresolved","unresolved","unresolved","unresolved","partial","true","official benchmark revision license and copied or transformed record scope","internal_inventory_complete","Internal source label only"
"source_inventory.v1","UP-HARMBENCH-BENIGN","HarmBench benign","harmbench_benign","upstream","benchmark split","","","","","","","","SRC-09 embedded metadata label","unresolved","upstream_of_neuralchemy_benign_records","scripts/normalization/normalize_sources_v1.py","data/archive/pre_monorepo_data_pipeline_20260730/review/05_benign/final/benign_candidates_520_reviewed_v1.csv","missing","1","distinct source_record_id with metadata.source=harmbench_benign","0","0","0","record-level GT mapping not reconstructed","unknown","unknown","","","unknown","","false","","","none found","","unresolved","unresolved","unresolved","unresolved","partial","true","whether this is a HarmBench split or separate derivative and what license applies","internal_inventory_complete","Preserved separately from UP-HARMBENCH"
"source_inventory.v1","UP-AIME","AIME within SCOUT-450","SCOUT source_dataset=aime","upstream","unknown","","","","","","","","SCOUT embedded source_dataset label","unresolved","upstream_of_scout_records","scripts/structure_intact/collect/collect_scout450_structure_candidates_v1.py","data/archive/pre_monorepo_data_pipeline_20260730/review/04_structure_intact/external_structure_candidates/src10_scout450_v1/src10_scout450_structure_candidates_all_v1.csv","missing","11","candidate rows with source_dataset=aime","0","0","0","selected GT record mapping not reconstructed","unknown","unknown","","","mixed","filtered or naturalized within SCOUT","false","","","none found","","unresolved","unresolved","unresolved","unresolved","partial","true","identity canonical URL revision license and selected record scope","internal_inventory_complete","AIME meaning is not inferred from name"
"source_inventory.v1","UP-SCOUT-BIPIA","BIPIA within SCOUT-450","SCOUT source_dataset=bipia","upstream","benchmark","","","","","","","","SCOUT embedded source_dataset label","unresolved","upstream_of_scout_records","scripts/structure_intact/collect/collect_scout450_structure_candidates_v1.py","data/archive/pre_monorepo_data_pipeline_20260730/review/04_structure_intact/external_structure_candidates/src10_scout450_v1/src10_scout450_structure_candidates_all_v1.csv","missing","6","candidate rows with source_dataset=bipia","0","0","0","selected GT record mapping not reconstructed","unknown","true","SCOUT filtering or copying","false","mixed","filtered_copy or dataset-specific method","false","","","none found","","unresolved","unresolved","unresolved","unresolved","partial","true","mapping to SRC-11 Microsoft BIPIA revision license and record-level transformation","internal_inventory_complete","Separate node preserves nested provenance"
"source_inventory.v1","UP-INJECAGENT","InjecAgent within SCOUT-450","SCOUT source_dataset=injecagent","upstream","benchmark","","","","","","","","SCOUT embedded source_dataset label","unresolved","upstream_of_scout_records","scripts/structure_intact/collect/collect_scout450_structure_candidates_v1.py","data/archive/pre_monorepo_data_pipeline_20260730/review/04_structure_intact/external_structure_candidates/src10_scout450_v1/src10_scout450_structure_candidates_all_v1.csv","missing","1","candidate row with source_dataset=injecagent","0","0","0","selected GT record mapping not reconstructed","unknown","unknown","","","mixed","SCOUT-carried record","false","","","none found","","unresolved","unresolved","unresolved","unresolved","partial","true","identity canonical URL revision license and whether the record entered final GT","internal_inventory_complete","Internal source label only"
"source_inventory.v1","UP-CODEQA","CodeQA contexts within BIPIA","CodeQA|BIPIA code test contexts","upstream","dataset","","","","","","","","local BIPIA repository files consumed by deterministic builder","unresolved","context_for_bipia_structure_samples","scripts/structure_intact/collect/collect_bipia_code_structure_candidates_v1.py","data/archive/pre_monorepo_data_pipeline_20260730/review/04_structure_intact/external_structure_candidates/src11_bipia_v1/src11_bipia_code_candidates_all_v1.csv","mixed","50","distinct context_index and context_url values in candidate CSV","0","0","0","final context mapping not reconstructed","true","true","BIPIA attack strings inserted into clean contexts","false","false","context source for reproduced builder","false","","","none found","","unresolved","unresolved","unresolved","unresolved","partial","true","official CodeQA identity author rights license NOTICE and record mapping to selected 18","internal_inventory_complete","47 distinct context_author_url values are retained internally"
"source_inventory.v1","REF-GRESHAKE-ET-AL","Greshake et al.","arXiv:2302.12173","reference","paper appendix","","","","arXiv:2302.12173","","","","SRC-12 attack_reference field","reference","design_or_attack_reference","scripts/structure_intact/extract/extract_bordair_yaml_candidates_v1.py","data/archive/pre_monorepo_data_pipeline_20260730/review/04_structure_intact/external_structure_candidates/src12_bordair_v1/src12_bordair_yaml_candidates_all_v1.csv","missing","1","reference appears in one materialized candidate row","0","0","0","reference only","unknown","unknown","","","false","","false","","","none found","","unresolved","unresolved","unresolved","unresolved","partial","true","whether text or generator logic derives from paper and whether an artifact license exists","internal_inventory_complete","No URL inferred from arXiv identifier"
"source_inventory.v1","REF-OWASP","OWASP","OWASP reference in Bordair","reference","reference standard","OWASP","","","","","","","SRC-12 attack_source field","reference","design_or_attack_reference","scripts/structure_intact/extract/extract_bordair_yaml_candidates_v1.py","data/archive/pre_monorepo_data_pipeline_20260730/review/04_structure_intact/external_structure_candidates/src12_bordair_v1/src12_bordair_yaml_candidates_all_v1.csv","missing","1","reference appears in one materialized candidate row","0","0","0","reference only","unknown","unknown","","","false","","false","","","none found","","unresolved","unresolved","unresolved","unresolved","partial","true","exact OWASP document version and whether any text was copied","internal_inventory_complete","Reference identity is broad"
"source_inventory.v1","REF-MICROSOFT-RED-TEAM","Microsoft Red Team","Microsoft Red Team reference in Bordair|arXiv:2309.02926","reference","paper appendix","Microsoft","","","arXiv:2309.02926","","","","SRC-12 attack_source and attack_reference fields","reference","design_or_attack_reference","scripts/structure_intact/extract/extract_bordair_yaml_candidates_v1.py","data/archive/pre_monorepo_data_pipeline_20260730/review/04_structure_intact/external_structure_candidates/src12_bordair_v1/src12_bordair_yaml_candidates_all_v1.csv","missing","1","reference appears in one materialized candidate row","0","0","0","reference only","unknown","unknown","","","false","","false","","","none found","","unresolved","unresolved","unresolved","unresolved","partial","true","exact publication artifact repository and whether generator content derives from it","internal_inventory_complete","No URL inferred from arXiv identifier"
"source_inventory.v1","DERIVED-MUTATION-500","Diagnostic mutation collection 500","mutated_malicious|mutation dataset","derived_collection","derived dataset","","","","","v1","","","local mutation pipeline","active","mutated_malicious","scripts/dataset/finalize/build_prompt_injection_diagnostic_dataset_1000_v1.py","data/archive/pre_monorepo_data_pipeline_20260730/review/03_mutation_review/mutation_filter/mutation_candidates_1150_valid_v1.jsonl","lfs_pointer_only","0","selected mutation JSONL is an LFS pointer; source-bearing rows not materialized in checkout","0","500","500","build contract requires 500 mutations from 250 parents; source inherited through parent_record_id","false","true","operator mutation with semantic-preservation filtering","false","true","mutation_engine_v1 or constraint_balanced_selection.v2","false","","","dependent on parent source licenses","","unresolved","unresolved","unresolved","unresolved","partial","false","not an independent official source-page search target; eligibility depends on parent-source licenses and derivative-use conditions","internal_inventory_complete","500 is inherited GT only and never an observed source count; transformation is verified by internal build evidence"
"source_inventory.v1","DERIVED-SRC07-WRAPPED","SRC-07 repository-review wrapped collection","repository_file_review_v1","derived_collection","derived dataset","","","","","v1","","","normalization transform","active","structure_intact_malicious|benign_hard_negative","scripts/normalization/normalize_sources_v1.py","data/archive/pre_monorepo_data_pipeline_20260730/review/04_structure_intact/final/structure_intact_dataset_150_v1.csv;data/archive/pre_monorepo_data_pipeline_20260730/review/05_benign/final/benign_dataset_100_v1.csv","materialized","50","50 GT rows with SRC-07 after wrapping; not a separate upstream record count","50","0","50","same 50 GT records represented by SRC-07 primary node; do not add to GT total again","true","true","repository_file_review_v1 wrapper around normalized raw text","true","false","deterministic wrapper","false","","","dependent on SRC-07 and underlying file licenses","","unresolved","unresolved","unresolved","unresolved","partial","false","not an independent official source-page search target; eligibility depends on SRC-07 and underlying-file licenses and derivative-use conditions","internal_inventory_complete","Derived node exists to express transformation only; counts overlap SRC-07; transformation is verified by internal wrapper evidence"
