top_level,second_level,third_level,file_count,size_mb,review_notes
scripts,mutation,finalize,1,0.0131,
scripts,mutation,inspect,4,0.0321,
scripts,mutation,run,3,0.0433,
scripts,normalization,build_mutation_seeds_llm01.py,1,0.0063,
scripts,normalization,filter_normalized_candidates_v1.py,1,0.0076,
scripts,normalization,inspect_raw_sources.py,1,0.0048,
scripts,normalization,normalize_sampled_raw.py,1,0.0144,
scripts,normalization,normalize_sources_v1.py,1,0.0191,
scripts,normalization,validate_and_merge_prompt_seeds.py,1,0.0076,
scripts,normalization,validate_mutation_seeds_llm01.py,1,0.0058,
scripts,normalization,validate_prompt_seed_dataset_llm01.py,1,0.0057,
scripts,structure_intact,audit,1,0.0085,
scripts,structure_intact,collect,3,0.0503,
scripts,structure_intact,extract,1,0.0162,
scripts,structure_intact,finalize,1,0.0094,
scripts,structure_intact,inspect,3,0.0111,
scripts,structure_intact,rescan,2,0.0479,
src,README_bucket_free_core_replacements_v1.md,(none),1,0.0015,
src,__init__.py,(none),1,0.0,
src,config,__init__.py,1,0.0,
src,config,buckets.py,1,0.0004,
src,config,enabled_buckets.py,1,0.0005,
src,core,__init__.py,1,0.0,
src,core,mutator.py,1,0.0197,
src,core,novelty_tracker.py,1,0.0021,
src,core,operator_assignment_policy.py,1,0.0159,
src,core,registry.py,1,0.032,
src,core,rng.py,1,0.0007,
src,core,selection_hook.py,1,0.0015,
src,core,selector.py,1,0.0178,
src,core,selector_stats.py,1,0.0039,
src,core,selector_weights.py,1,0.002,
src,core,trace.py,1,0.0012,
src,core,types.py,1,0.0048,
src,core,validity_guard.py,1,0.0044,
src,operators,__init__.py,1,0.0,
src,operators,op_comp_expand_context.py,1,0.004,
src,operators,op_ctx_bypass_review_wrapper.py,1,0.0052,
src,operators,op_direct_override_prefix.py,1,0.0076,
src,operators,op_fmt_markdown_wrapper.py,1,0.004,
src,operators,op_fmt_punctuation_resegmentation.py,1,0.0068,
src,operators,op_fmt_structured_wrapper_json_yaml.py,1,0.0059,
src,operators,op_fmt_whitespace_noise.py,1,0.0075,
src,operators,op_json_schema_preserving_field_wrap.py,1,0.0097,
src,operators,op_lex_homoglyph_injection.py,1,0.0067,
src,operators,op_lex_polite_prefix.py,1,0.0058,
src,operators,op_lex_refusal_suppression.py,1,0.0058,
src,operators,op_salience_preserving_line_compression.py,1,0.0107,
src,operators,op_syn_boundary_delimiter_injection.py,1,0.0052,
src,operators,op_syn_fake_tool_instruction_injection.py,1,0.0084,
src,operators,op_syn_tool_call_argument_perturbation.py,1,0.0091,
src,operators,op_syn_trust_violation_trigger.py,1,0.0023,
src,operators,op_syn_unverified_data_injection.py,1,0.0022,
src,operators_disabled_v1,op_comp_adversarial_training_data_manipulation.py,1,0.0022,
src,operators_disabled_v1,op_comp_hallucination_induction.py,1,0.0023,
src,operators_disabled_v1,op_comp_unbounded_consumption.py,1,0.0018,
src,operators_disabled_v1,op_constraint_biased_training_data_injection.py,1,0.0022,
src,operators_disabled_v1,op_constraint_model_backdoor_injection.py,1,0.0022,
src,operators_disabled_v1,op_lex_data_poisoning_injection.py,1,0.0021,
src,operators_disabled_v1,op_lex_misinformation_generation.py,1,0.0022,
src,operators_legacy,op_fmt_html_document_embedding.py,1,0.0058,
src,operators_legacy,op_lex_obfuscation_encoding_wrapper.py,1,0.0054,
src,operators_legacy,op_syn_authority_pretext_framing.py,1,0.0032,
src,pipelines,README.md,1,0.003,
src,pipelines,export_execution_input_jsonl.py,1,0.0061,
src,pipelines,inspect_registry.py,1,0.0057,
src,pipelines,report_llm01_batch.py,1,0.0059,
src,pipelines,report_llm01_diversity.py,1,0.0065,
src,pipelines,run_llm01_batch.py,1,0.0153,
src,pipelines,run_operator_smoke_test.py,1,0.0074,
tests,conftest.py,(none),1,0.0047,
tests,snapshot,.gitkeep,1,0.0,
tests,snapshot,snapshots.json,1,0.0033,
tests,snapshot,test_op_comp_expand_context_snapshot.py,1,0.0007,
tests,snapshot,test_op_comp_unbounded_consumption_snapshot.py,1,0.0012,
tests,snapshot,test_op_constraint_schema_preserving_mutation_snapshot.py,1,0.0006,
tests,snapshot,test_op_fmt_html_document_embedding.py,1,0.0031,
tests,snapshot,test_op_fmt_markdown_wrapper_snapshot.py,1,0.0007,
tests,snapshot,test_op_fmt_punctuation_resegmentation_snapshot.py,1,0.0018,
tests,snapshot,test_op_fmt_structured_wrapper_json_yaml_snapshot.py,1,0.001,
tests,snapshot,test_op_fmt_whitespace_noise_snapshot.py,1,0.0006,
tests,snapshot,test_op_lex_homoglyph_injection_snapshot.py,1,0.0015,
tests,snapshot,test_op_lex_obfuscation_encoding_wrapper.py,1,0.0016,
tests,snapshot,test_op_lex_override_instructions_snapshot.py,1,0.0014,
tests,snapshot,test_op_lex_polite_prefix_snapshot.py,1,0.0013,
tests,snapshot,test_op_lex_refusal_suppression_snapshot.py,1,0.0013,
tests,snapshot,test_op_lex_shorten_snapshot.py,1,0.0013,
tests,snapshot,test_op_syn_authority_pretext_framing.py,1,0.002,
tests,snapshot,test_op_syn_boundary_delimiter_injection_snapshot.py,1,0.0013,
tests,snapshot,test_op_syn_fake_tool_instruction_injection_snapshot.py,1,0.0015,
tests,snapshot,test_op_syn_tool_call_argument_perturbation_snapshot.py,1,0.0015,
tests,snapshot,test_snapshot_runner.py,1,0.0052,
tests,snapshot,test_snapshots_deterministic.py,1,0.0027,
tests,unit,test_constraints_max_chars.py,1,0.0011,
tests,unit,test_mutator_policy_a.py,1,0.004,
tests,unit,test_operator_assignment_policy_v1_1.py,1,0.0029,
tests,unit,test_operator_contract_unit.py,1,0.0026,
tests,unit,test_operator_review_policy_v1_1.py,1,0.0014,
tests,unit,test_operator_stats_by_bucket.py,1,0.0015,
tests,unit,test_registry_loading.py,1,0.0005,
tests,unit,test_registry_policy_filter_v1_1.py,1,0.0054,
tests,unit,test_selector_policy_forwarding_v1_1.py,1,0.0022,
tests,unit,test_selector_quota_v1_1.py,1,0.0027,
tests,unit,test_validity_guard.py,1,0.0008,
